,Hosting team,visiting team,Time,emission_carbone
292,Toulouse,Le Havre,3818.405067828496,40166.35172713603
293,Toulouse,Lens,4416.642489786802,45214.48495591001
294,Toulouse,Lille,4416.642489786802,43491.70495591001
295,Toulouse,Lyon,2653.0233408437416,30353.329595090505
296,Toulouse,Marseille,2375.2322068830617,28443.482022909662
297,Toulouse,Monaco,3066.3521747507266,34238.094562594764
298,Toulouse,Montpellier,1934.9821256678365,24457.69955464772
299,Toulouse,Nantes,3000.1023809960056,33076.3053535774
300,Toulouse,Nice,3066.3521747507266,32636.51456259477
301,Toulouse,Paris Saint-Germain,3506.6198635215974,36999.1778569794
302,Toulouse,Reims,4016.2727326185736,42587.947341129344
303,Toulouse,Rennes,3399.347806271296,35389.35050487979
304,Toulouse,Strasbourg,4366.44767076678,45865.90424873591
305,Toulouse,Saint-Étienne,2386.88580400727,27619.28808349414
